,Host,Dokumente,Land,Date
1,"St. Mary's University College Twickham, London: Open Research Archive",116,uk,2012-06-20
2,MDPI Open Access Publishing,17140,ch,2012-06-20
3,Universiti Teknologi Mara (UiTM) Digital Repository,4923,my,2012-06-19
4,Universitetet for Miljø- og Biovitenskaps: Brage UMB,564,no,2012-06-19
5,"NLR Reports Repository (National Aerospace Laboratory, Niederlande)",342,nl,2012-06-19
6,Journal of Molecular Biochemistry,6,gr,2012-06-19
7,ENS Cachan (École normale supérieure de Cachan): ARThèque,2642,fr,2012-06-19
8,University of Georgia: Athenaeum@UGA,9410,us,2012-06-18
9,Tarnobrzeg Digital Library (TBC),878,pl,2012-06-18
10,Biological Bulletin of Bogdan Chmelnitskiy Melitopol State Pedagogical University (MDPU),39,ua,2012-06-18
11,BESS Digital Archive (Biblioteca Elettronica di Scienze Sociali ed Economiche del Piemonte),199,it,2012-06-18
12,American Academic & Scholarly Research Center: AASRC Journal Systems,48,us,2012-06-18
13,Universitas Ahmad Dahlan Journals,171,id,2012-06-15
14,Science Publishing Corporation: E-Journals,46,org,2012-06-15
15,Research in Dentistry (E-Journal),4,cl,2012-06-15
16,Institute of Advanced Engineering and Science (IAES): E-Journals,159,id,2012-06-15
17,"Université Pierre et Marie Curie, Paris (UPMC): Jubilothèque",1182,fr,2012-05-25
18,Dolnośląska Biblioteka Cyfrowa / Lower Silesian Digital Library,9966,pl,2012-05-25
19,"Acta Didactica Norge (Institutt for lærerutdanning og skoleutvikling, Universitetet i Oslo)",7,no,2012-05-25
20,Yu Da University Taiwan: Institutional Repository (YDUIR) / 育達商業科技大學機構典藏系統,4600,tw,2012-05-23
21,RUJA - Repositorio de la Universidad de Jaén,1,es,2012-05-23
22,Universidade Guarulhos (UnG): Portal das Revistas Científicas Eletrônicas,532,br,2012-05-22
23,Parkland College: SPARK (Scholarship at Parkland),329,us,2012-05-21
24,"University of Ljubljana, Faculty of Civil and Geodetic Engineering: Digital Repository UL FGG / Univerza v Ljubljani, Fakultete za gradbeništvo in geodezijo",1335,si,2012-05-07
25,Universida de San Andrés: Repositorio Digital San Andrés,494,ar,2012-05-07
26,International Journal of Scientific and Research Publications (IJSRP),320,org,2012-05-04
27,Hivos (Humanist Institute for Cooperation) Knowledge Programme: Publications,74,nl,2012-05-04
28,Design for Scientific Renaissance (Malaysia): DSR Journals,160,my,2012-05-04
29,Cedarville University: DigitalCommons@Cedarville,14,us,2012-05-04
30,Université de Lorraine: PETALE (Publications Et Travaux Académiques de LorrainE),5471,fr,2012-05-02
31,"Universidad Nacional del Litoral, Santa Fe. Argentina: Publicaciones Periódica UNL",5266,ar,2012-05-02
32,"Universidad Nacional del Litoral, Santa Fe. Argentina: Biblioteca de Tesis UNL",285,ar,2012-05-02
33,Pontificia Universidad Católica del Perú: Revistas,2631,pe,2012-05-02
34,Hong Kong Polytechnic University: PolyU Institutional Repository (PolyU IR),4782,hk,2012-05-02
35,Universität Basel: Dokumentenserver edoc,16421,ch,2012-04-27
36,Illinois Mathematics and Science Academy: DigitalCommons@IMSA,99,us,2012-04-27
37,Repositório Científico do Centro Hospitalar do Porto,556,pt,2012-04-26
38,National Taiwan Sport University Repository / 國立體育大學,1606,tw,2012-04-26
39,Villanova Univ. Digital Library,12062,us,2012-04-25
40,Electronic Archive Donetsk National Technical University (E-archive DonNTU) / Електронний архів Донецького національного технічного університету,12557,ua,2012-04-25
41,Carleton College: Digital Commons,44,us,2012-04-25
